path,format,width,height,bytes,exif_ms,full_decode_ms,full_resize_hash_ms,full_decode_result,captured_at_source,fast_hash_ms,decode_source,fast_hash_result
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-27_769.jpeg,jpeg,3024,4032,2841112,0.07,55.93,77.69,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-28_191.jpeg,jpeg,3024,4032,3179899,0.07,59.43,75.04,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-28_797.jpeg,jpeg,3024,4032,3689673,0.07,64.83,75.04,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-29_426.jpeg,jpeg,3024,4032,3522230,0.07,62.75,75.50,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-30_190.jpeg,jpeg,3024,4032,3155938,0.07,60.27,76.37,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-30_923.jpeg,jpeg,3024,4032,3183957,0.07,58.87,75.71,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-31_492.jpeg,jpeg,3024,4032,3312009,0.07,59.70,75.71,ok,exif_original,1.04,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-32_120.jpeg,jpeg,3024,4032,3346914,0.12,60.16,76.30,ok,exif_original,1.17,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-32_884.jpeg,jpeg,3024,4032,3309471,0.09,60.28,76.06,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-33_515.jpeg,jpeg,3024,4032,3336647,0.07,61.08,76.03,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-34_227.jpeg,jpeg,3024,4032,3272437,0.08,60.71,76.49,ok,exif_original,1.25,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-34_753.jpeg,jpeg,3024,4032,3221653,0.07,59.06,77.46,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-35_859.jpeg,jpeg,3024,4032,3124616,0.11,59.24,74.65,ok,exif_original,1.13,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-36_483.jpeg,jpeg,3024,4032,2915695,0.09,57.78,76.10,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-37_196.jpeg,jpeg,3024,4032,2902174,0.07,57.03,75.91,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-38_034.jpeg,jpeg,3024,4032,2797986,0.25,55.83,76.67,ok,exif_original,1.31,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-39_132.jpeg,jpeg,3024,4032,2870355,0.09,56.75,74.56,ok,exif_original,1.14,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-40_177.jpeg,jpeg,3024,4032,2632018,0.08,54.09,75.42,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-41_128.jpeg,jpeg,3024,4032,2720516,0.08,55.67,75.78,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-41_942.jpeg,jpeg,3024,4032,2916695,0.07,56.51,76.20,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-42_894.jpeg,jpeg,3024,4032,3483640,0.08,64.22,76.06,ok,exif_original,1.13,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-50_313.jpeg,jpeg,3024,4032,3098478,0.13,57.86,75.16,ok,exif_original,1.21,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-51_437.jpeg,jpeg,3024,4032,3119337,0.09,59.39,75.82,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-52_896.jpeg,jpeg,3024,4032,3066126,0.08,58.51,75.17,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-54_530.jpeg,jpeg,3024,4032,2967830,0.07,57.20,75.70,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-55_276.jpeg,jpeg,3024,4032,3297979,0.07,59.90,75.44,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-55_941.jpeg,jpeg,3024,4032,3172361,0.07,59.03,75.60,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-59_098.jpeg,jpeg,3024,4032,3028129,0.08,59.59,74.74,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-27-59_840.jpeg,jpeg,3024,4032,2824888,0.09,56.93,74.88,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-03_106.jpeg,jpeg,3024,4032,3005728,0.07,57.72,76.60,ok,exif_original,1.08,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-03_862.jpeg,jpeg,3024,4032,2961816,0.07,58.03,75.92,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-04_643.jpeg,jpeg,3024,4032,2984887,0.08,58.10,75.57,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-05_606.jpeg,jpeg,3024,4032,3114130,0.13,59.03,75.51,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-06_751.jpeg,jpeg,3024,4032,3274442,0.07,60.18,75.37,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-07_469.jpeg,jpeg,3024,4032,3473151,0.08,62.30,74.78,ok,exif_original,1.03,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-08_222.jpeg,jpeg,3024,4032,3398242,0.08,61.48,76.32,ok,exif_original,1.01,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-09_320.jpeg,jpeg,3024,4032,3327702,0.07,60.64,75.44,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-10_096.jpeg,jpeg,3024,4032,3197170,0.14,59.17,76.50,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-11_293.jpeg,jpeg,3024,4032,3354582,0.12,61.28,74.95,ok,exif_original,1.16,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-12_264.jpeg,jpeg,3024,4032,2926724,0.10,57.96,76.21,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-25_001.jpeg,jpeg,3024,4032,2958351,0.08,57.12,76.12,ok,exif_original,1.03,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-25_678.jpeg,jpeg,3024,4032,2863831,0.13,55.92,76.61,ok,exif_original,1.19,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-26_426.jpeg,jpeg,3024,4032,2733375,0.08,54.89,75.17,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-27_459.jpeg,jpeg,3024,4032,3067638,0.07,58.16,76.29,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-28_682.jpeg,jpeg,3024,4032,3163964,0.17,60.01,75.65,ok,exif_original,1.18,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-30_495.jpeg,jpeg,3024,4032,2719712,0.08,54.87,76.28,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-31_772.jpeg,jpeg,3024,4032,2878326,0.07,57.35,74.82,ok,exif_original,1.03,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-34_307.jpeg,jpeg,3024,4032,2903250,0.08,55.53,74.65,ok,exif_original,1.10,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-37_281.jpeg,jpeg,3024,4032,3165755,0.08,60.87,75.45,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-37_776.jpeg,jpeg,3024,4032,3059178,0.08,60.04,75.80,ok,exif_original,1.14,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-41_631.jpeg,jpeg,4032,3024,3318811,0.07,61.54,58.87,ok,exif_original,1.12,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-43_011.jpeg,jpeg,4032,3024,3159028,0.07,61.14,59.12,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-44_029.jpeg,jpeg,4032,3024,3309747,0.07,61.68,58.44,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-28-45_300.jpeg,jpeg,4032,3024,3119995,0.07,60.55,58.42,ok,exif_original,1.22,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-37-56_159.jpeg,jpeg,5712,4284,4964365,0.09,110.34,156.69,ok,exif_original,1.11,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-37-58_263.jpeg,jpeg,5712,4284,5066993,0.10,110.56,156.74,ok,exif_original,1.09,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-37-59_062.jpeg,jpeg,5712,4284,4954324,0.12,109.57,157.83,ok,exif_original,1.03,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-38-07_898.jpeg,jpeg,4284,5712,3988631,0.08,98.24,171.43,ok,exif_original,1.00,exif_thumbnail,ok
C:\Users\miyaj\Pictures\20260630_新宿エール\2026-06-30_18-38-10_511.jpeg,jpeg,4284,5712,4278956,0.08,101.01,171.27,ok,exif_original,1.00,exif_thumbnail,ok
