path,result,full_hash,thumb_hash,scaled_hash,fast_resize_hash,full_ms,thumb_ms,scaled_ms,fast_resize_ms,thumb_hamming,scaled_hamming,fast_resize_hamming
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-59_098.jpeg,ok,915035193b1f9e9f,915035193b1f9e9f,915035193b1f9e9f,915035193b1f9e9b,139.01,1.61,42.48,73.66,0,0,1
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-27-59_840.jpeg,ok,2da1717f1b5f2e9f,ada1717b1b5f2e9f,2da1717b195f2e9f,afa5516759572caf,134.64,1.94,39.65,71.31,2,2,12
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-03_106.jpeg,ok,42c2e72373783f24,42c2e72773783f24,42c2e72773793d24,4ad26f2277780d22,137.75,1.65,40.59,72.58,1,3,11
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-03_862.jpeg,ok,42a2ca3377793c26,42a3da3373793e36,42a2ca3377793e26,42a2deb263593e66,136.21,1.59,40.40,71.94,5,1,9
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-04_643.jpeg,ok,4ba3e373323b3c3e,4ba3e373323b3c3e,4ba3e373323b3c3e,4ba06b73323b3cb6,136.08,1.59,40.95,72.65,0,0,6
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-05_606.jpeg,ok,2da16173333f3ebf,2da16173333f3e9f,2da16173333f3e9f,2fa57177731f3cbf,136.87,1.78,41.78,73.40,1,1,7
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-06_751.jpeg,ok,4b23e373333f3c3e,4b21e373333f3c3e,4b23e373333f3c3e,4fa02363362f3cbe,138.40,2.05,43.55,75.35,1,0,11
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-07_469.jpeg,ok,4f216373333f3c3f,0fa16373333f3cbf,4fa16373333f3c3f,4fa56327332b3cae,140.73,1.84,45.45,77.47,3,1,10
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-08_222.jpeg,ok,b94242d66763593c,b94242d66363593c,b94242d66363593c,a9426ad46363133c,140.11,2.11,44.58,76.72,1,1,8
C:/Users/miyaj/Pictures/20260630_新宿エール\2026-06-30_18-28-09_320.jpeg,ok,7d21a16b33372d3e,7d21a16b33372d3e,7421a16b33372d3e,7423a56a333b0b3e,144.37,1.82,44.26,75.91,0,2,10
